statment,label
मुझे आपकी मदद की ज़रूरत है।,1
मुझे बचाओ।,1
मेरी मदद करो।,1
मेरी रक्षा करो।,1
मुझे बाढ़ से बचाओ।,1
बाढ़ आ गई है।,1
मैं मरने वाली हूँ,1
मेरा घर बह चुका है।,1
लोहा एक बहुत उपयोगी धातु है।,0
मेक्सिको में स्पैनिश बोली जाती है क्या।,0
अंग्रेज़ी बोलना मुश्किल होता है क्या।,0
यह सरासर समय की बर्बादी है।,0
मानो कोई सपना सच आ गया हो।,0
कृपया धीमी आवाज़ में बात कीजिए।,0
मेरी जीन्स पैंट धुलाई में सिकुड़ गई।,0
उसने सौ डॉलर बचा लिए।,0
हम भारत से चाय का आयात करते हैं।,0
कल रात क्या हुआ।,0
तुम कौनसे स्कूल में पढ़ते हो।,0
तुम्हारी शादी कब हुई थी।,0
आपको लाईन में लगकर इंतेज़ार करना पड़ेगा।,0
मैं तो संतुष्ट हूँ।,0
तुम साथ आना चाहते हो क्या।,0
वह ज़्यादा तेज़ नहीं भाग सकता था।,0
वह तुम्हें समझता नहीं है।,0
उसने थोड़ी देर हिचकिचाया।,0
वह सबका मज़ाक उड़ाता है।,0
